id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372757854780,Сергей Иванов,1 day ago,1502446218074,"гр. Навальный, скажите, а зачем проводить торги, если есть завод- изготовитель и у него есть отпускная цена? Зачем в этом случае вообще торги? Кто такие участники торгов? Какое отношение они имеют к производству? Какой картельный сговор? Навальный - борец с коррупцией участвовал в совершенствовании этого закона - по сути лазейки для коррупционеров. Если бы Правительство напрямую разместило заказ на производство автомобилей на заводе, проавансировало бы его заблаговременно, не было бы никакой коррупции, а у рабочих была бы стабильная работа и зарплата. гр.Навальный разъясните пожалуйста смысл совершенствованного вами закона о т.н. гос.закупках? Смысл существования такой бесполезной и даже вредной организации, как Антимономольная служба? Не вы ли поддерживая эту систему сами способствуете развитию коррупции, чтобы громогласно с ней бороться и делать себе пиар?",3
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372773544993,Алексей Михайлов,1 day ago,1502446218076,Топ,8
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372854349555,Hanz Zimmer,1 day ago,1502446218077,Алексей Навальный для топа,6
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372894431304,DarkMitr,1 day ago,1502446218080,"А вы не подумали, уважаемые, что может для МВД комплектация особая, а соответственно и цена выше?",9
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373062444545,Валера Лацков,1 day ago,1502446218081,"Алексей Навальный мы верим в тебя но пойми что в ютюбе тебе не подняться, схема усторела, нужно что то новенькое надо по другому мочить их",3
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373090894142,Нора Лагуноф,1 day ago,1502446218083,"сержа ,с классической фамилией иванов ,вы перепутали  к кому нужно обращаться .Уж точно  ,не к Навальному .Задайте свои вопросы путятинцам  и их пахану с дряхлеющим торсом....А ФБК  делает работу за все правительственные комитеты так сказать ,борющееся с коррупцией .За что им(ребятам  и фонда) честь и хвала.",11
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373094961824,XenoWitcher,1 day ago,1502446218085,"А ты как будто не сидел в этих шевиках и автобусах, самые обычные, смею заверить",10
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373112646198,Mike Rowe,1 day ago,1502446218087,"Алексей Навальный , посмотрите комментарии МВД на Твиттере за последние 2 дня",5
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373126516789,MsKkac,1 day ago,1502446218088,"DarkMitr к тому же на момент покупки цены могли быть выше, чем сейчас",3
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373150500520,Строгий Лёх,1 day ago,1502446218090,"DarkMitr Мы подумали, что МВД ворует деньги. Сейчас вот они начнут оправдываться, и расскажут всем,  какая там комплектация. Деревянные сиденья, кованные решётки...",4
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502373151351873,aj2company,1 day ago,1502446218092,"Сделайте расследование по сети магазинов Красное и Белое, по слухам принадлежит ФСБ и уже более года работает в убыток, для уничтожения конкуренции, допустим те же магазины Бристоль терпят огромные убытки из-за оттока клиентов",3
