id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies
z23st3crdzb2vlnp304t1aokgei2g5iwt0j15q3pifnkbk0h00410,Mihail Drozdov,8 hours ago,1502533936382,Алеша ты клоун,0,false,0
z23phpsrsoqojtnxa04t1aokgtkkuf2b5wkd5j1hkopprk0h00410,SpecTuning UAZ,8 hours ago,1502533936386,Давайте следующую серию с врачами. А то медицина в России загибается((( Пусть пенсионеры увидят где тот бюджет который на них выделяют. И что на него покупают эти .......! Я с вами потому что я люблю Россию,2,false,0
z22sej5ozmjph104p04t1aokghcqibp4k2rw3iz1qgnmbk0h00410,Сергей Рыгалов,8 hours ago,1502533936388,Как же сильно Лша тебе хочется поближе к кормушке...!!!,0,false,0
z23ms1hrap3dct10oacdp431lg4uuve4oheg1vqarq1w03c010c,Золотой Стечкин,8 hours ago,1502533936391,"Самая заветная мечта - расстрелять семью этих еврейских собак,поставить в ряд и расстрелять.Эх,расстреливать надо было в сво время не царскую семью,а всех жидов,всех...Или высылка в Израиль.

Пора заставлять сдавать ДНК анализ на славянство и выселять гадюк этих.",0,false,0
z22ghtyo2oqsyjy4i04t1aokgfupaufg2ubiyjowzs2rbk0h00410,Александр Алексеев,9 hours ago,1502530336393,"А с другой стороны, Путин и Димон умеет быть очень хорошими друзьями))))",0,false,0
z23ri1fhnyq4xpo3aacdp435m4maqdvuc3bfdo3b5o5w03c010c,Vladimir Aleko,9 hours ago,1502530336396,ПУТИН - ПИДОР,0,false,0
z221j1zbjtiudlqlwacdp435wujb5mb51wy5qifjk05w03c010c,kioShiMa BS,9 hours ago,1502530336399,Ротембирк рулет!!!!,0,false,0
z23ov34wbvajdrbjc04t1aokgxcum3up4e1p0ccxybwurk0h00410,FREIDuck _,10 hours ago,1502526736402,Навальному надо мозги блядь поменять эти згорели на путина попр охуевший,0,false,0
z22ry5dpxq2bh1eig04t1aokgcxglcaw2xu2bwh4dmi3rk0h00410,Зелный Иисус LegoStopMotions,10 hours ago,1502526736404,Розенберги ы,0,false,0
z23jgnxreo2fyvbyn04t1aokgvr4afiekki3m0i1k2lobk0h00410,Андрей Клещ,11 hours ago,1502523136407,Блин)))) ничего конечно )))) но! Косое!))) интонация и жестикуляция как у... Навальный! Ты ли это?),0,false,0
z23qv1baxnevujveoacdp435eqgsfmfkpgssj34p4u1w03c010c,Антон Б,11 hours ago,1502523136409,Да себывать надо с этой помойки.,0,false,0
z22rvb1yppqrfr0usacdp43a3zpv1nwarcp2q5sltxdw03c010c,Юрий. Марков.,11 hours ago,1502523136412,"Просто тебе м****ле не дадим расколоть Россию,ты лузер,неудачник завидуй молча,пока тебя не определили рядом с Немцовым.",0,false,0
z22jznvbmzyeh5esmacdp433ngnx5xzwseyf4xr4lr1w03c010c,Виктор Опольский,11 hours ago,1502523136415,Когда Глеб Самойлов успел стать дальнобойщиком?,2,false,0
z220gjhaurr1y3j5s04t1aokgqmcnazcaq1vme131ihmrk0h00410,stepan polovnikov,11 hours ago,1502523136417,посмотрите канал быть или,0,false,0
z223ixhrfpfpgvwir04t1aokgcolrl2ckya43zsslwvobk0h00410,Чрная мамба 2015,11 hours ago,1502523136420,Зачем еврею церковь?,0,false,0
z223ixhrfpfpgvwir04t1aokgvbymn4s4chb31fxfoznrk0h00410,Чрная мамба 2015,11 hours ago,1502523136423,"Поздновато вы про платон вспомнили, забастовку дальнобойщиков два месяца назад слили",0,false,0
z23jzfd4rlnps3vmxacdp43aelooaue3ov1o3shivm1w03c010c,SATEDA SADA,12 hours ago,1502519536425,"Кто нибудь может объяснить ЗАЧЕМ ТАКОЕ КОЛИЧЕСТВО земли, домов, яхт нормальному человеку??? ЗАЧЕМ???",0,false,0
z233wtsasqzbxppq504t1aokg0coiyzxmuylh3ikvflwrk0h00410,Ulugbek Djalaldinov,12 hours ago,1502519536428,Я тоже хочу особняк за 3 рубля,0,false,0
z22tj5ariovfcf4skacdp431k0xo1lmjiuy4ckuefnlw03c010c,Петя Веников,14 hours ago,1502512336430,Кста. Лысая башка. Какая у тебя зарплата и кто тебе е платит?,0,false,0
z22tj5ariovfcf4skacdp432qemm01iws3bgzyjz5klw03c010c,Петя Веников,14 hours ago,1502512337524,"Бля, заебал. Ч он вс ветками-то махает? Равновесие поддерживает? Иллюзионист недоделанный.",0,false,0
z22iu5yr2wmkhdvsvacdp43af2xltauplvbfcqrflytw03c010c,Алекс Иванов,16 hours ago,1502505137527,"Два педика пытаются потроллить Ротенбергов, да они плевали на вас клоунов и денег вам попрошайкам не дадут",0,false,0
z22ct3vopvegitekyacdp4345slgddhlpsropraltb5w03c010c,ян теплов,16 hours ago,1502505137530,Че за рубашка у навэлного,0,false,0
z23afpgxkqiwjx0diacdp43b35p454y1ibizimx3zhxw03c010c,Roman Proskuryakov,17 hours ago,1502501537532,"У Аркадия дом кривой, смотрите на 5:50. Рукава какой-то кривой таджик пририсовывал. Эти дебилы умудрились сэкономить на архитекторе.",0,false,0
z23wwbtjokahezzwz04t1aokg1hy2use33lhc0abftnwbk0h00410,Валентина Алефиренко,17 hours ago,1502501537536,"Ну, я человек верующий! Поэтому искренне считаю, что после смерти Ротенберги окажутся в аду, как тот богач из Евангелия от Луки, гл 16! Так что нет у меня ни злобы к ним, ни зависти... Может, сожаление, что эти люди уже погубили свои души. Разве что продадут все, да нищим раздадут?!",0,false,0
z22tgtvy5mussj2q104t1aokgk5cesgfwns4b3len0mirk0h00410,Sedrak Dalaloyan,18 hours ago,1502497937539,"Бля*ь какие боты? Ведь есть люди у которых все хорошо.
Надоели нытики в топе!",1,false,0
